Unnamed: 0,date,price,trend
,2019-10-16,76.92642974853516,down
,2019-10-17,77.0770263671875,up
,2019-10-18,76.52734375,down
,2019-10-19,76.67545318603516,up
,2019-10-20,76.13493347167969,down
,2019-10-21,76.28054809570312,up
,2019-10-22,75.74923706054688,down
,2019-10-23,75.89234924316406,up
,2019-10-24,75.37029266357422,down
,2019-10-25,75.51087951660156,up
,2019-10-26,74.99812316894531,down
,2019-10-27,75.13617706298828,up
,2019-10-28,74.63276672363281,down
,2019-10-29,74.76827239990234,up
,2019-10-30,74.27425384521484,down
,2019-10-31,74.40719604492188,up
,2019-11-01,73.92261505126953,down
,2019-11-02,74.05298614501953,up
,2019-11-03,73.577880859375,down
,2019-11-04,73.70568084716797,up
,2019-11-05,73.24008178710938,down
,2019-11-06,73.36528778076172,up
,2019-11-07,72.90924072265625,down
