"Date","Price","Open","High","Low","Change %"
"Apr 28, 2005","56.3085","56.4520","56.6425","56.1660","-0.36%"
"Apr 27, 2005","56.5105","56.7060","56.7975","56.3270","-0.39%"
"Apr 26, 2005","56.7295","56.6670","56.8955","56.3970","-0.08%"
"Apr 25, 2005","56.7755","56.9630","57.0815","56.5180","-0.48%"
"Apr 22, 2005","57.0505","57.0200","57.2775","56.7630","-0.05%"
"Apr 21, 2005","57.0810","57.1950","57.3780","56.9190","-0.26%"
"Apr 20, 2005","57.2295","57.0590","57.3035","56.7010","0.16%"
"Apr 19, 2005","57.1355","56.7890","57.2045","56.7230","0.46%"
"Apr 18, 2005","56.8755","56.4510","57.0065","56.1820","0.59%"
"Apr 15, 2005","56.5395","55.9270","56.6315","55.7560","0.93%"
"Apr 14, 2005","56.0180","56.4560","56.5250","55.6730","-0.83%"
"Apr 13, 2005","56.4840","56.3400","56.7060","56.0640","0.02%"
"Apr 12, 2005","56.4710","56.5620","56.9340","56.1000","-0.29%"
"Apr 11, 2005","56.6360","56.3490","56.7860","56.2400","0.21%"
"Apr 08, 2005","56.5155","56.0690","56.6145","55.8430","0.62%"
"Apr 07, 2005","56.1700","56.1820","56.6600","56.0340","-0.19%"
"Apr 06, 2005","56.2745","56.1890","56.5735","56.0470","0.01%"
"Apr 05, 2005","56.2690","56.1800","56.3600","55.9060","0.10%"
"Apr 04, 2005","56.2120","56.1830","56.5100","55.9760","-0.29%"
"Apr 01, 2005","56.3755","56.6050","57.0685","56.0400","-0.43%"
"Mar 31, 2005","56.6200","56.3910","56.8720","56.3610","0.21%"
"Mar 30, 2005","56.5015","56.5770","56.9295","56.3560","-0.04%"
"Mar 29, 2005","56.5235","56.3460","56.8265","56.2850","0.29%"
"Mar 28, 2005","56.3590","56.5320","56.6870","56.1290","-0.40%"
"Mar 25, 2005","56.5830","56.4870","56.7650","56.4050","0.06%"
"Mar 24, 2005","56.5495","56.7060","57.1335","56.4390","-0.43%"
"Mar 23, 2005","56.7965","57.0240","57.3835","56.5750","-0.72%"
"Mar 22, 2005","57.2075","57.3730","57.7675","56.9200","-0.56%"
"Mar 21, 2005","57.5310","57.9690","58.0880","57.2950","-0.89%"
"Mar 18, 2005","58.0465","58.2480","58.5155","57.7560","-0.47%"
"Mar 17, 2005","58.3210","58.3600","58.6200","58.0960","-0.22%"
"Mar 16, 2005","58.4490","57.7440","58.5440","57.7100","0.98%"
"Mar 15, 2005","57.8810","58.0170","58.4730","57.7390","-0.43%"
"Mar 14, 2005","58.1305","58.5420","58.7515","57.9140","-0.57%"
"Mar 11, 2005","58.4645","58.2930","58.6665","58.1840","0.10%"
"Mar 10, 2005","58.4080","58.2780","58.7590","58.1780","0.15%"
"Mar 09, 2005","58.3200","58.1310","58.4770","58.0300","0.24%"
"Mar 08, 2005","58.1820","57.5960","58.2830","57.5600","0.89%"
"Mar 07, 2005","57.6680","57.6870","57.9660","57.4470","-0.19%"
"Mar 04, 2005","57.7770","57.2030","57.9670","57.0770","0.93%"
"Mar 03, 2005","57.2445","57.3470","57.6425","57.0640","-0.24%"
"Mar 02, 2005","57.3825","57.4690","57.6845","57.0420","-0.29%"
"Mar 01, 2005","57.5485","57.6210","57.8465","57.3330","-0.39%"
"Feb 28, 2005","57.7750","57.7440","58.0630","57.6340","-0.04%"
"Feb 25, 2005","57.7970","57.4860","57.8320","57.3780","0.36%"
"Feb 24, 2005","57.5875","57.6090","58.0205","57.3950","-0.11%"
"Feb 23, 2005","57.6530","57.8320","57.9820","57.4950","-0.44%"
"Feb 22, 2005","57.9065","57.0940","57.9545","57.0110","1.27%"
"Feb 21, 2005","57.1810","57.0410","57.3600","56.9890","-0.08%"
"Feb 18, 2005","57.2270","57.0420","57.4250","56.8880","0.24%"
"Feb 17, 2005","57.0875","56.8630","57.3225","56.8240","0.26%"
"Feb 16, 2005","56.9410","56.9370","57.1480","56.5440","-0.09%"
"Feb 15, 2005","56.9950","56.6320","57.1480","56.5010","0.61%"
"Feb 14, 2005","56.6485","56.3110","56.9005","56.2040","0.57%"
"Feb 11, 2005","56.3275","56.2720","56.5355","56.0990","-0.02%"
"Feb 10, 2005","56.3410","55.8520","56.5110","55.6480","0.84%"
"Feb 09, 2005","55.8705","55.6720","56.0235","55.5540","0.20%"
"Feb 08, 2005","55.7600","55.3440","55.8820","55.2800","0.62%"
"Feb 07, 2005","55.4165","55.7140","56.0135","55.2180","-0.74%"
"Feb 04, 2005","55.8280","56.1730","56.5730","55.6670","-0.66%"
"Feb 03, 2005","56.1990","56.3850","56.6240","56.0480","-0.51%"
"Feb 02, 2005","56.4895","56.8810","57.2155","56.2550","-0.79%"
"Feb 01, 2005","56.9415","56.8410","57.1665","56.6710","0.11%"
"Jan 31, 2005","56.8780","56.8590","57.0870","56.7230","-0.19%"
"Jan 28, 2005","56.9850","56.9500","57.2110","56.6320","0.01%"
"Jan 27, 2005","56.9780","57.0990","57.5070","56.7800","-0.36%"
"Jan 26, 2005","57.1860","56.6360","57.2640","56.5710","0.85%"
"Jan 25, 2005","56.7050","56.9550","57.3220","56.4830","-0.60%"
"Jan 24, 2005","57.0460","56.9070","57.3650","56.7760","0.13%"
"Jan 21, 2005","56.9740","56.6400","57.1530","56.4820","0.49%"
"Jan 20, 2005","56.6960","56.7500","57.0820","56.5170","-0.09%"
"Jan 19, 2005","56.7450","56.8320","57.3820","56.5270","-0.29%"
"Jan 18, 2005","56.9125","56.8760","57.1915","56.6190","-0.11%"
"Jan 17, 2005","56.9725","57.0590","57.4565","56.8070","-0.31%"
